172.64.53.41#中国香港 1 ↓ 288.14MB/s
104.27.207.63#中国香港 2 ↓ 259.53MB/s
172.64.38.251#中国香港 3 ↓ 253.9MB/s
172.64.32.142#中国香港 4 ↓ 197.14MB/s
172.64.33.82#中国香港 5 ↓ 195.5MB/s
IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
46.3.109.228	50059	TRUE	HKG	亚太	香港	165 ms	40125 kB/s
46.3.109.228	32335	TRUE	HKG	亚太	香港	166 ms	36090 kB/s
46.3.106.228	26117	TRUE	SIN	亚太	新加坡	166 ms	29379 kB/s
46.3.109.228	25011	TRUE	HKG	亚太	香港	165 ms	27174 kB/s
46.3.109.228	29686	TRUE	HKG	亚太	香港	165 ms	24118 kB/s
46.3.106.228	45490	TRUE	SIN	亚太	新加坡	167 ms	15393 kB/s
46.3.104.69	40910	TRUE	HKG	亚太	香港	165 ms	11586 kB/s
46.3.109.160	56751	TRUE	HKG	亚太	香港	165 ms	11468 kB/s
46.3.106.21	44973	TRUE	HKG	亚太	香港	166 ms	11185 kB/s
46.3.106.144	47474	TRUE	KUL	亚太	马来西亚吉隆坡	165 ms	10534 kB/s
46.3.106.138	35502	TRUE	SIN	亚太	新加坡	165 ms	10516 kB/s
46.3.106.46	36961	TRUE	SIN	亚太	新加坡	165 ms	10346 kB/s
46.3.106.138	10046	TRUE	SIN	亚太	新加坡	165 ms	5738 kB/s
46.3.104.159	25980	TRUE	HKG	亚太	香港	165 ms	5338 kB/s
46.3.109.150	9536	TRUE	LAX	北美洲	美国洛杉矶	171 ms	4904 kB/s
46.3.108.81	443	TRUE	HKG	亚太	香港	166 ms	0 kB/s

